# frequency (Hz)	Voltage_X (V)	Voltage_Y (V)
1.1300000e+01	1.0258500e-01	0.0000000e+00
1.4762652e+01	1.0258200e-01	-1.9073600e-05
1.9286361e+01	1.0258500e-01	-1.9073600e-05
2.5196269e+01	1.0257000e-01	-1.9073600e-05
3.2917145e+01	1.0257400e-01	-1.9073600e-05
4.3003924e+01	1.0258200e-01	-1.9073600e-05
5.6181588e+01	1.0257800e-01	-1.9073600e-05
7.3397276e+01	1.0257000e-01	-1.9073600e-05
9.5888355e+01	1.0257800e-01	-1.9073600e-05
1.2527136e+02	1.0260400e-01	-3.8147200e-05
1.6365818e+02	1.0256600e-01	-3.8147200e-05
2.1380785e+02	1.0257800e-01	-5.3406000e-05
2.7932485e+02	1.0258200e-01	-6.4850300e-05
3.6491819e+02	1.0258200e-01	-8.0109100e-05
4.7673983e+02	1.0258200e-01	-1.0681200e-04
6.2282691e+02	1.0258200e-01	-1.3351500e-04
8.1367935e+02	1.0258500e-01	-1.6784800e-04
1.0630146e+03	1.0258200e-01	-2.2888300e-04
1.3887534e+03	1.0258200e-01	-2.9373400e-04
1.8143083e+03	1.0257400e-01	-3.8910100e-04
2.3702656e+03	1.0258200e-01	-5.1880300e-04
3.0965845e+03	1.0257800e-01	-6.7139000e-04
4.0454689e+03	1.0257000e-01	-8.9264300e-04
5.2851192e+03	1.0257400e-01	-1.1520500e-03
6.9046349e+03	1.0257800e-01	-1.5068100e-03
9.0204177e+03	1.0258200e-01	-1.9645800e-03
1.1784538e+04	1.0260100e-01	-2.5711200e-03
1.5395667e+04	1.0260800e-01	-3.3760200e-03
2.0113351e+04	1.0265800e-01	-4.4021900e-03
2.6276672e+04	1.0272300e-01	-5.7487800e-03
3.4328615e+04	1.0288300e-01	-7.5226100e-03
4.4847911e+04	1.0316100e-01	-9.8801300e-03
5.8590627e+04	1.0365300e-01	-1.3099700e-02
7.6544514e+04	1.0440900e-01	-1.7528700e-02
1.0000000e+05	1.0562200e-01	-2.4089900e-02
