# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
1.1030000e+01	0.0000000e+00	0.0000000e+00
1.5102143e+01	0.0000000e+00	0.0000000e+00
2.0677672e+01	0.0000000e+00	0.0000000e+00
2.8311619e+01	0.0000000e+00	0.0000000e+00
3.8763927e+01	0.0000000e+00	0.0000000e+00
5.3075101e+01	0.0000000e+00	0.0000000e+00
7.2669788e+01	0.0000000e+00	0.0000000e+00
9.9498596e+01	0.0000000e+00	0.0000000e+00
1.3623228e+02	0.0000000e+00	0.0000000e+00
1.8652759e+02	0.0000000e+00	0.0000000e+00
2.5539133e+02	0.0000000e+00	0.0000000e+00
3.4967872e+02	0.0000000e+00	0.0000000e+00
4.7877589e+02	0.0000000e+00	0.0000000e+00
6.5553417e+02	0.0000000e+00	0.0000000e+00
8.9754947e+02	0.0000000e+00	0.0000000e+00
1.2289139e+03	0.0000000e+00	0.0000000e+00
1.6826141e+03	0.0000000e+00	0.0000000e+00
2.3038149e+03	0.0000000e+00	0.0000000e+00
3.1543556e+03	0.0000000e+00	0.0000000e+00
4.3189056e+03	0.0000000e+00	0.0000000e+00
5.9133934e+03	0.0000000e+00	0.0000000e+00
8.0965469e+03	0.0000000e+00	0.0000000e+00
1.1085694e+04	3.8147300e-06	0.0000000e+00
1.5178399e+04	3.8147300e-06	0.0000000e+00
2.0782081e+04	7.6294500e-06	0.0000000e+00
2.8454574e+04	3.8147300e-06	0.0000000e+00
3.8959660e+04	1.9073600e-05	3.8147300e-06
