# frequency (Hz)	Voltage (V) 	phase (deg)
1.0000000e+02	5.0036500e-05	3.8058000e+01
1.1826507e+02	5.3154500e-05	3.3342000e+01
1.3986628e+02	5.4609300e-05	2.8854000e+01
1.6541296e+02	5.8383000e-05	2.4588000e+01
1.9562575e+02	5.9686800e-05	2.1150000e+01
2.3135694e+02	6.1195800e-05	1.7430000e+01
2.7361446e+02	6.1795600e-05	1.4496000e+01
3.2359034e+02	6.2190500e-05	1.1448000e+01
3.8269436e+02	6.2540600e-05	9.7140000e+00
4.5259377e+02	6.2492200e-05	7.6620000e+00
5.3526035e+02	6.2577900e-05	5.9880000e+00
6.3302605e+02	6.1847700e-05	4.6140000e+00
7.4864873e+02	6.1411900e-05	3.4560000e+00
8.8538997e+02	6.1147400e-05	2.3700000e+00
1.0471071e+03	6.0636800e-05	1.4400000e+00
1.2383620e+03	6.0133900e-05	1.1580000e+00
1.4645497e+03	5.9724100e-05	8.9400000e-01
1.7320508e+03	5.9146700e-05	6.7200000e-01
2.0484112e+03	5.8550600e-05	4.3200000e-01
2.4225550e+03	5.8330800e-05	8.5200000e-01
2.8650364e+03	5.7906100e-05	1.2420000e+00
3.3883375e+03	5.7708700e-05	1.7700000e+00
4.0072198e+03	5.7291500e-05	2.3700000e+00
4.7391415e+03	5.7593200e-05	3.1560000e+00
5.6047492e+03	5.7667700e-05	4.0920000e+00
6.6284607e+03	5.8170600e-05	5.0580000e+00
7.8391540e+03	5.8837500e-05	6.0300000e+00
9.2709812e+03	5.9772500e-05	6.9660000e+00
1.0964333e+04	6.1192100e-05	7.4280000e+00
1.2966976e+04	6.2276100e-05	8.3100000e+00
1.5335404e+04	6.3699200e-05	8.7660000e+00
1.8136427e+04	6.5535800e-05	9.3660000e+00
2.1449059e+04	6.7212200e-05	9.6780000e+00
2.5366745e+04	6.9477100e-05	1.0278000e+01
3.0000000e+04	7.2207800e-05	1.0872000e+01
