# frequency (Hz)	Voltage_X (V)	Voltage_Y (V)
1.2000000e+04	1.0259300e-01	-2.6169000e-03
1.2910219e+04	1.0259300e-01	-2.8381500e-03
1.3889480e+04	1.0259300e-01	-3.0403300e-03
1.4943019e+04	1.0260400e-01	-3.2921000e-03
1.6076471e+04	1.0261600e-01	-3.5400500e-03
1.7295897e+04	1.0262000e-01	-3.7880100e-03
1.8607819e+04	1.0262700e-01	-4.0703100e-03
2.0019252e+04	1.0264600e-01	-4.3907500e-03
2.1537744e+04	1.0265400e-01	-4.7302500e-03
2.3171416e+04	1.0267300e-01	-5.0812100e-03
2.4929006e+04	1.0270000e-01	-5.4664900e-03
2.6819911e+04	1.0272600e-01	-5.8822900e-03
2.8854244e+04	1.0275700e-01	-6.3362400e-03
3.1042884e+04	1.0280300e-01	-6.8054500e-03
3.3397537e+04	1.0284100e-01	-7.3280600e-03
3.5930794e+04	1.0291000e-01	-7.8926700e-03
3.8656202e+04	1.0297400e-01	-8.4992100e-03
4.1588337e+04	1.0306200e-01	-9.1438900e-03
4.4742879e+04	1.0314600e-01	-9.8725000e-03
4.8136698e+04	1.0326100e-01	-1.0666000e-02
5.1787943e+04	1.0338600e-01	-1.1505200e-02
5.5716142e+04	1.0353500e-01	-1.2447400e-02
5.9942300e+04	1.0369200e-01	-1.3473600e-02
6.4489020e+04	1.0385900e-01	-1.4591300e-02
6.9380615e+04	1.0406500e-01	-1.5789200e-02
7.4643246e+04	1.0429800e-01	-1.7101400e-02
8.0305056e+04	1.0456500e-01	-1.8486100e-02
8.6396323e+04	1.0492000e-01	-1.9931900e-02
9.2949622e+04	1.0627000e-01	-2.2339000e-02
1.0000000e+05	1.0557200e-01	-2.4116600e-02
