# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
1.1300000e+01	5.0552600e-02	1.5258900e-05
1.5458921e+01	5.0125400e-02	0.0000000e+00
2.1148518e+01	5.0033800e-02	0.0000000e+00
2.8932148e+01	5.0018500e-02	0.0000000e+00
3.9580513e+01	5.0007100e-02	0.0000000e+00
5.4147968e+01	5.0014700e-02	0.0000000e+00
7.4076918e+01	5.0014700e-02	0.0000000e+00
1.0134064e+02	5.0003300e-02	0.0000000e+00
1.3863867e+02	5.0010900e-02	0.0000000e+00
1.8966410e+02	5.0014700e-02	0.0000000e+00
2.5946924e+02	5.0014700e-02	7.6294500e-06
3.5496589e+02	5.0014700e-02	-3.8147300e-06
4.8560971e+02	5.0010900e-02	-7.6294500e-06
6.6433649e+02	5.0014700e-02	-7.6294500e-06
9.0884297e+02	5.0010900e-02	7.6294500e-06
1.2433391e+03	5.0003300e-02	1.1444200e-05
1.7009453e+03	5.0026200e-02	-7.6294500e-06
2.3269716e+03	4.9999500e-02	0.0000000e+00
3.1834045e+03	5.0014700e-02	0.0000000e+00
4.3550442e+03	5.0007100e-02	-3.8147300e-06
5.9579014e+03	5.0007100e-02	0.0000000e+00
8.1506840e+03	5.0003300e-02	-3.8147300e-06
1.1150512e+04	4.9995700e-02	0.0000000e+00
1.5254414e+04	4.9988000e-02	0.0000000e+00
2.0868743e+04	4.9976600e-02	1.5258900e-05
2.8549403e+04	4.9953700e-02	3.4332500e-05
3.9056900e+04	4.9942300e-02	6.4850300e-05
5.3431641e+04	4.9942300e-02	9.1553200e-05
7.3096950e+04	4.9915600e-02	1.2970100e-04
1.0000000e+05	4.9843100e-02	3.8528600e-04
