# frequency (Hz)	Voltage_X (V)	Voltage_Y (V)
1.0000000e+01	5.0003300e-02	0.0000000e+00
1.0371550e+01	5.0026200e-02	0.0000000e+00
1.0756906e+01	5.0022400e-02	0.0000000e+00
1.1156579e+01	5.0018500e-02	0.0000000e+00
1.1571102e+01	5.0014700e-02	0.0000000e+00
1.2001027e+01	5.0018500e-02	0.0000000e+00
1.2446926e+01	5.0018500e-02	0.0000000e+00
1.2909392e+01	5.0018500e-02	0.0000000e+00
1.3389041e+01	5.0014700e-02	0.0000000e+00
1.3886511e+01	5.0014700e-02	0.0000000e+00
1.4402465e+01	5.0014700e-02	0.0000000e+00
1.4937590e+01	5.0022400e-02	0.0000000e+00
1.5492596e+01	5.0014700e-02	0.0000000e+00
1.6068225e+01	5.0014700e-02	0.0000000e+00
1.6665240e+01	5.0030000e-02	0.0000000e+00
1.7284438e+01	5.0026200e-02	0.0000000e+00
1.7926642e+01	5.0014700e-02	0.0000000e+00
1.8592707e+01	5.0018500e-02	0.0000000e+00
1.9283520e+01	5.0014700e-02	0.0000000e+00
2.0000000e+01	5.0022400e-02	0.0000000e+00
