# frequency (Hz)	Voltage (V) 	phase (deg)
1.5000000e+02	5.7976900e-05	2.6790000e+01
1.8770136e+02	5.9455900e-05	2.1882000e+01
2.3487867e+02	6.1408200e-05	1.7136000e+01
2.9391365e+02	6.2332000e-05	1.3344000e+01
3.6778661e+02	6.2715700e-05	9.8940000e+00
4.6022698e+02	6.2730600e-05	7.2960000e+00
5.7590154e+02	6.2618900e-05	5.1120000e+00
7.2065002e+02	6.2205400e-05	3.6540000e+00
9.0177993e+02	6.1695000e-05	2.2800000e+00
1.1284355e+03	6.0811900e-05	1.4220000e+00
1.4120592e+03	6.0066800e-05	7.8000000e-01
1.7669695e+03	5.9351600e-05	6.3600000e-01
2.2110839e+03	5.8941800e-05	6.1800000e-01
2.7668230e+03	5.8438900e-05	1.0620000e+00
3.4622430e+03	5.7947100e-05	1.8060000e+00
4.3324515e+03	5.7824200e-05	2.7660000e+00
5.4213803e+03	5.7991800e-05	3.9420000e+00
6.7840031e+03	5.8614000e-05	5.2020000e+00
8.4891108e+03	5.9683100e-05	6.3960000e+00
1.0622784e+04	6.1229300e-05	7.5180000e+00
1.3292741e+04	6.2760400e-05	8.6400000e+00
1.6633770e+04	6.5032900e-05	9.2160000e+00
2.0814542e+04	6.7242000e-05	9.7020000e+00
2.6046119e+04	7.0304100e-05	1.0272000e+01
3.2592613e+04	7.4402000e-05	1.1466000e+01
4.0784519e+04	8.1737100e-05	1.2858000e+01
5.1035398e+04	9.4842600e-05	1.4490000e+01
6.3862758e+04	1.3504300e-04	1.6872000e+01
7.9914178e+04	7.8356600e-04	-8.7540000e+00
1.0000000e+05	6.0085400e-05	-1.3150200e+02
