R,R_min,R_max,R_avg
(1, 2),37.20158,37.26164,37.21026
(1, 3),42.9022,42.92514,42.91865
(1, 4),30.12366,30.1539,30.1301
(1, 5),42.32902,42.52321,42.3768
(1, 6)
(1, 7),32.94887,33.05992,32.99238
(1, 8),19.98373,20.00058,19.99259
(2, 3),37.21143,37.22623,37.21698
(2, 4),24.62294,24.6336,24.62699
(2, 5),36.80961,36.8532,36.82413
(2, 6)
(2, 7),37.14852,37.18984,37.16418
(2, 8),24.67571,24.67842,24.67635
(3, 4),18.94108,18.96028,18.94345
(3, 5),32.01837,37.04726,32.03412
(3, 6)
(3, 7),41.98405,42.00229,41.93963
(3, 8),29.57152,29.59711,29.58952
(4, 5),18.73491,18.74955,18.7381
(4, 6)
(4, 7),29.13584,29.16046,29.14757
(4, 8),16.91541,16.92959,16.92263
(5, 6)
(5, 7),42.16066,42.22855,42.19224
(5, 8),35.14390,35.69441,35.40363
(6, 7)
(6, 8)
(7, 8),19.32176,19.33457,19.32824
