R,R_min,R_max,R_avg
(1, 2),1.379493,1.379791,1.379628
(1, 3),3.137565,3.13878,3.137797
(1, 4),3.278854,3.283443,3.27958
(1, 5),3.08108,3.083891,3.081549
(1, 6),1.477845,1.478345,1.478057
(1, 7),0.8782637,0.8785133,0.87835998
(1, 8),0.9441603,0.9446725,0.944341
(2, 3),2.804225,2.8042716,2.804378
(2, 4),2.957276,2.957964,2.95767
(2, 5),2.770164,2.771362,2.770548
(2, 6),1.416037,1.416595,1.416168
(2, 7),1.54409,1.54435,1.54418
(2, 8),1.883977,1.884198,1.884063
(3, 4),0.6943194,0.694454,0.6943789
(3, 5),0.9036692,0.903841,0.90371
(3, 6),1.971825,1.97248,1.972014
(3, 7),2.957519,2.958422,2.97736
(3, 8),3.443589,3.444674,3.444198
(4, 5),0.6622616,0.6629067,0.6624283
(4, 6),2.101033,2.101968,2.101267
(4, 7),3.096098,3.097664,3.09669
(4, 8),3.583975,3.587048.3.585256
(5, 6),1.890738,1.89156,1.89109
(5, 7),2.894584,2.898833,2.896399
(5, 8),3.38581,3.39169,3.388428
(6, 7),1.210062,1.21079,1.210229
(6, 8),1.736874,1.739109,1.737654
(7, 8),0.8163534,0.8180359,0.8168426
