i,j,R_avg,R_min,R_max
2.0,3.0,5410.35799,5409.8578,5412.0126
2.0,5.0,5148.866904999999,5148.4853,5149.3325
2.0,6.0,9491.555194999999,9490.7303,9492.6982
2.0,7.0,5748.227290000001,5747.213,5748.5627
2.0,8.0,5379.085109999999,5378.912,5379.4069
2.0,10.0,3709.0646850000003,3708.9477,3709.3702
3.0,5.0,3044.454585,3044.0764,3044.7518
3.0,6.0,9011.635425000002,9010.3794,9013.3187
3.0,7.0,5360.658495000001,5359.9168,5361.1508
3.0,8.0,5574.14807,5573.888,5574.371
3.0,10.0,5701.619145000001,5701.3448,5701.9046
5.0,6.0,8326.20787,8324.7775,8327.6272
5.0,7.0,4735.3012,4734.7937,4735.6788
5.0,8.0,5091.973615,5091.8018,5092.3119
5.0,10.0,5392.822749999999,5392.6813,5393.0141
6.0,7.0,5492.74566,5492.255,5493.7819
6.0,8.0,8299.1615,8298.6859,8300.0539
6.0,10.0,9464.192969999998,9463.8747,9464.522
7.0,8.0,4606.143374999999,4605.7836,4606.8135
7.0,10.0,5823.065545,5822.9015,5823.338
8.0,10.0,5298.1131000000005,5297.8193,5298.6374
