i,j,R_avg,R_min,R_max
1.0,2.0,0.0906827,0.090363,0.09101
1.0,3.0,0.6362187,0.63501,0.636888
1.0,4.0,0.23556525,0.227687,0.247505
1.0,5.0,0.08552544999999999,0.084192,0.086587
1.0,6.0,0.26051824999999995,0.259308,0.262717
1.0,7.0,0.25665595,0.256093,0.257549
1.0,8.0,0.1325257,0.131488,0.133915
2.0,3.0,0.59477105,0.589527,0.600509
2.0,4.0,0.08936594999999999,0.088755,0.090794
2.0,5.0,0.09606935,0.094764,0.096847
2.0,6.0,0.10628314999999999,0.105466,0.106696
2.0,7.0,0.14810075,0.147325,0.150853
2.0,8.0,0.12052579999999997,0.117118,0.123051
3.0,4.0,0.55239785,0.551714,0.553818
3.0,5.0,0.5563411,0.555382,0.560075
3.0,6.0,0.5667258000000001,0.565976,0.568069
3.0,7.0,0.5837148,0.582741,0.585201
3.0,8.0,0.5582614000000001,0.557594,0.55974
4.0,5.0,0.11046415000000001,0.108994,0.111465
4.0,6.0,0.12646005,0.125846,0.129179
4.0,7.0,0.13895385,0.137109,0.140118
4.0,8.0,0.09226970000000001,0.090643,0.093254
5.0,6.0,0.13026284999999999,0.129384,0.131704
5.0,7.0,0.16089629999999996,0.158469,0.162634
5.0,8.0,0.13631569999999998,0.135566,0.136731
6.0,7.0,0.17602199999999998,0.175332,0.178234
6.0,8.0,0.1513027,0.150162,0.153086
7.0,8.0,0.24385295000000004,0.239155,0.252651
