R,R_min,R_max,R_avg
(1,2),5238.483,5240.2034,5239.009865
(1,4),4983.5013,4986.8545,4984.239385000001
(1,6),9340.0809,9344.6401,9341.297545000001
(1,7),5582.7123,5584.8423,5583.3954650000005
(1,8),5211.596,5214.1927,5212.142565
(1,9),9412.6017,9414.5457,9413.519760000001
(1,11),3547.0165,3550.4583,3547.8910750000005
(1,12),6392.491,6397.2375,6394.6975600000005
(2,4),2883.6073,2885.7513,2884.41859
(2,6),8869.5142,8874.0593,8871.34006
(2,7),5197.8234,5201.3517,5199.313980000001
(2,8),5407.2773,5410.2371,5408.305020000001
(2,9),9700.5778,9704.4345,9702.114795
(2,11),5534.9937,5538.5684,5536.45028
(2,12),9323.2075,9327.0081,9324.257540000002
(4,6),8192.486,8195.9234,8194.28246
(4,7),4580.0075,4582.3308,4581.00268
(4,8),4934.2065,4936.6649,4935.503105
(4,9),9210.4429,9214.8615,9212.033384999999
(4,11),5234.542,5237.2154,5235.396849999999
(4,12),9031.0705,9034.1179,9032.091779999999
(6,7),5327.7116,5337.7852,5331.444934999999
(6,8),8121.7662,8125.9622,8124.12316
(6,9),11807.0,11810.836,11808.611299999999
(6,11),9277.6084,9293.4201,9281.615105
(6,12),12436.852,12444.86,12440.57795
(7,8),4448.882,4457.42,4451.706700000001
(7,9),8795.0358,8801.5758,8797.182225
(7,11),5660.8448,5666.379,5662.842050000001
(7,12),9568.5153,9571.2115,9569.73117
(8,9),5802.6268,5807.5577,5803.751310000001
(8,11),5146.6623,5151.4808,5149.397975
(8,12),9103.9727,9108.4811,9105.17163
(9,11),9190.9311,9206.2587,9196.135829999997
(9,12),12408.884,12413.349,12411.228650000001
(11,12),6618.7394,6632.74,6622.909629999999
