i,j,R_avg,R_min,R_max
1.0,2.0,2538.2702300000005,2504.1642,2562.8576
1.0,3.0,2729.5758900000005,2698.0148,2750.7972
1.0,4.0,1836.3933499999998,1831.8629,1839.7104
1.0,5.0,2724.0939949999997,2680.5206,2752.1772
1.0,7.0,2302.971795,2287.6002,2317.0571
2.0,3.0,2664.049535,2650.9947,2674.9024
2.0,4.0,1835.93842,1822.3718,1849.1
2.0,5.0,2693.515235,2685.8934,2700.1469
2.0,7.0,2699.0244800000005,2693.9484,2704.7946
3.0,4.0,1545.1079199999997,1532.1292,1556.0445
3.0,5.0,2483.33247,2479.3854,2488.3449
3.0,7.0,2848.6075950000004,2844.4228,2852.0206
4.0,5.0,1484.2354599999999,1483.1402,1486.0006
4.0,7.0,1901.974465,1899.3772,1904.6021
5.0,7.0,2831.0792299999994,2821.6041,2840.6384
