i,j,R_avg,R_min,R_max
2.0,3.0,7665.575025,7299.7441,7762.5263
2.0,4.0,10439.48505,10240.699,10493.137
2.0,6.0,9.9e+37,9.9e+37,9.9e+37
2.0,7.0,8600.98787,8588.3311,8614.7084
2.0,8.0,9761.422285,9468.7548,9870.6021
2.0,9.0,8650.252129999999,8648.5536,8652.4936
2.0,10.0,5744.581370000001,5727.564,5758.0614
3.0,4.0,8992.948659999998,8978.7593,9010.9586
3.0,6.0,9.9e+37,9.9e+37,9.9e+37
3.0,7.0,6990.4148700000005,6972.4118,7032.8841
3.0,8.0,10030.59308,9835.919,10200.458
3.0,9.0,9072.966280000002,9031.5179,9241.5566
3.0,10.0,5877.195175,5845.8528,5904.9386
4.0,7.0,9557.94183,9525.8182,9601.2582
4.0,8.0,11891.62065,11816.059,12326.313
4.0,9.0,11381.9869,11234.841,11509.797
4.0,10.0,8329.71015,8261.7973,8423.9058
7.0,8.0,10399.948450000002,10344.907,10622.776
7.0,9.0,8939.754405000001,8815.3241,9175.1
7.0,10.0,7729.288595,7187.0876,7869.9581
8.0,9.0,13291.69785,13273.755,13306.675
8.0,10.0,6301.992194999999,6266.5015,6477.6522
9.0,10.0,4023.449325,4002.4756,4052.931

