i,j,R_avg,R_min,R_max
1.0,3.0,2862.0433949999997,2861.6393,2862.5308
1.0,5.0,4212.811255,4212.5434,4212.8665
1.0,7.0,4620.121115,4619.7253,4620.3791
1.0,9.0,5089.929005,5089.2689,5090.1712
1.0,10.0,4361.853325000001,4361.566,4362.0426
3.0,5.0,4205.293395,4205.2535,4205.3237
3.0,7.0,4621.488475,4621.209,4621.545
3.0,9.0,5089.23147,5089.0257,5089.4634
3.0,10.0,4388.825935,4388.2132,4389.0571
5.0,7.0,2478.457444999999,2478.2097,2478.5134
5.0,9.0,3529.3332299999993,3529.0511,3529.5406
5.0,10.0,1726.24935,1725.5388,1726.4908
7.0,9.0,2581.3605049999996,2581.2347,2581.507
7.0,10.0,2767.9547599999996,2766.4998,2768.7097
9.0,10.0,3352.5013449999997,3351.4564,3353.0168
