i,j,R_avg,R_min,R_max
2.0,3.0,1070.0461799999998,1069.9912,1070.0838
2.0,7.0,25592.89865,25432.111,25734.776
2.0,8.0,550192.2925,465434.9,578295.9
2.0,9.0,3752903.665,1075878.0,10002142.0
2.0,10.0,16990.822099999998,16937.798,17025.994
3.0,4.0,9.9e+37,9.9e+37,9.9e+37
3.0,6.0,9.9e+37,9.9e+37,9.9e+37
3.0,7.0,27247.53845,27201.162,27386.41
3.0,8.0,618371.7104999999,594494.16,626435.26
3.0,9.0,9653132.530000001,1194858.9,10314422.0
3.0,10.0,16433.7893,16387.189,16501.251
7.0,8.0,501813.556,477143.11,514247.81
7.0,9.0,1177767.365,1152377.5,1195692.4
7.0,10.0,24814.436449999997,24727.073,24966.238
8.0,9.0,9.9e+37,9.9e+37,9.9e+37
8.0,10.0,875705.5634999999,801262.98,919831.07
9.0,10.0,9.9e+37,9.9e+37,9.9e+37
