i,j,R_avg,R_min,R_max
2.0,3.0,284.1876045,284.18255,284.19033
2.0,4.0,308.54901550000005,308.5384,308.56185
2.0,5.0,345.17604399999993,345.15833,345.18135
2.0,6.0,329.8931165,329.88039,329.89671
2.0,7.0,334.8487380000001,334.82663,334.85472
2.0,8.0,251.88845500000008,251.88464,251.89025
2.0,10.0,237.01666849999998,237.01412,237.0178
3.0,4.0,256.8244424999999,256.81779,256.82622
3.0,5.0,213.32405949999998,213.32106,213.32559
3.0,6.0,184.551846,184.5481,184.55436
3.0,7.0,290.4676515,290.45208,290.47315
3.0,8.0,289.29544799999996,289.28232,289.29972
3.0,10.0,299.06955000000005,299.06072,299.07196
4.0,5.0,253.5112235,253.50907,253.51393
4.0,6.0,263.455976,263.45039,263.45731
4.0,7.0,300.5373255,300.53594,300.53875
4.0,8.0,309.636451,309.63382,309.63803
4.0,10.0,312.9536535,312.95129,312.9554
5.0,6.0,273.92636150000004,273.92485,273.92756
5.0,7.0,338.28868300000005,338.28675,338.28999
5.0,8.0,345.56621550000006,345.56396,345.56741
5.0,10.0,347.72923449999996,347.72532,347.73127
6.0,7.0,290.39516549999996,290.38973,290.40194
6.0,8.0,330.203886,330.20087,330.20649
6.0,10.0,332.93256399999996,332.92829,332.93596
7.0,8.0,332.96279100000004,332.94039,332.97323
7.0,10.0,341.66732250000007,341.66603,341.66841
8.0,10.0,233.1505365,233.14872,233.15261
