i,j,R_avg,R_min,R_max
1.0,2.0,1846.6363800000004,1824.3677,1855.332
1.0,4.0,1834.6832149999998,1827.2757,1838.3564
1.0,6.0,2032.1323249999994,1612.1422,3206.7884
1.0,7.0,2107.6387600000007,2101.7388,2109.8121
1.0,8.0,1908.276945,1902.1372,1911.4122
1.0,9.0,1586.41157,1490.871,1741.4013
1.0,10.0,1541.954225,1475.6709,1568.1973
1.0,12.0,2566.4611350000005,2552.2124,2577.338
2.0,4.0,1214.0158900000001,1201.8312,1219.2055
2.0,6.0,1540.55986,1461.9663,1630.0374
2.0,7.0,1938.8496049999999,1932.1872,1940.6614
2.0,8.0,1839.2048200000002,1835.7662,1841.2309
2.0,9.0,1351.18931,1343.7684,1400.8797
2.0,10.0,2067.4238250000003,2057.2633,2071.1277
2.0,12.0,2486.7495499999995,2454.4425,2552.4944
4.0,6.0,1270.3448850000002,1250.3448,1294.3352
4.0,7.0,1664.2037650000002,1659.1635,1666.5333
4.0,8.0,1582.02809,1578.0366,1583.9866
4.0,9.0,3637.5879250000007,3063.4725,4173.7614
4.0,10.0,3991.7051699999997,3937.8885,4012.3795
4.0,12.0,2126.98556,2080.5356,2190.2463
6.0,7.0,1573.6385,1408.5651,1916.6997
6.0,8.0,1935.7908599999998,1847.7654,2065.7549
6.0,9.0,4522.019805,4478.4728,4547.8189
6.0,10.0,5667.313455,5562.7262,5700.2501
6.0,12.0,23627.97795,23343.553,23810.787
7.0,8.0,1582.071915,1575.039,1588.0681
7.0,9.0,3113.3098,3050.7514,3238.2227
7.0,10.0,4274.466039999999,4249.7558,4301.0921
7.0,12.0,3062.09624,2815.947,3175.7983
8.0,9.0,2327.0775999999996,2307.8891,2373.215
8.0,10.0,3985.9328550000005,3941.2709,4013.1262
8.0,12.0,2269.7186549999997,2235.3617,2370.8495
9.0,10.0,4322.882495,4299.6495,4341.5972
9.0,10.0,4781.70564,4608.4052,4845.8499
10.0,12.0,3745.034165,3679.4283,3811.4138
