# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
8.0000000e+00	1.0051300e+00	8.9111900e-03
1.5693739e+01	1.0006200e+00	2.0141800e-03
3.0786679e+01	9.9927100e-01	-6.1035600e-05
6.0394762e+01	9.9921000e-01	0.0000000e+00
1.1847745e+02	9.9927100e-01	-6.1035600e-05
2.3241927e+02	9.9921000e-01	-1.2207100e-04
4.5594091e+02	9.9921000e-01	0.0000000e+00
8.9442719e+02	9.9927100e-01	0.0000000e+00
1.7546133e+03	9.9921000e-01	-1.2207100e-04
3.4420554e+03	9.9921000e-01	-1.2207100e-04
6.7523397e+03	9.9914900e-01	-2.4414200e-04
1.3246182e+04	9.9878300e-01	-4.2724800e-04
2.5985264e+04	9.9799000e-01	-2.4414200e-04
5.0975744e+04	9.9805100e-01	7.3242600e-04
1.0000000e+05	9.9560900e-01	2.0752100e-03
