n,C_gap,C_gap_err,C_landau,C_landau_err
1,1.9511536197914268e-11,1.1296650535362318e-11,-3.059544054454983e-11,2.72784678977815e-11
2,1.628783997849194e-11,9.62972481621278e-12,-4.4493362784135615e-11,3.959104114731487e-11
3,2.3215571371938707e-11,1.3714173943020618e-11,-6.144536242979107e-11,5.0211560125796784e-11
4,1.7695845007315624e-11,1.160044026047819e-11,-8.362624915750564e-11,6.273066016234662e-11
5,2.264923016997905e-11,8.639115044507692e-12,-1.3559492654001652e-10,6.242553207397902e-11
6,2.2133893991976356e-11,1.0832536988736017e-11,-1.220991866174773e-10,6.048079904430539e-11
7,-3.93349441536375e-11,5.343221822142553e-11,-1.5077785707365443e-10,7.449484711395839e-11
8,2.4508482917207833e-11,1.0809732129847399e-11,-1.891248507410069e-10,4.932721952503879e-11
9,-2.8791827665856883e-11,2.3278312660487667e-11,-1.558621215936895e-10,6.66799353054567e-11
10,2.3041608249369758e-11,1.4627361561748232e-11,-2.1796202303438732e-10,6.862161922644023e-11
11,-2.715156255113244e-11,3.16906589743392e-11,-1.3462701084976592e-10,4.942265850441211e-11
12,2.093810747117267e-11,1.4903513422629407e-11,-1.641168577936644e-10,5.30982117271734e-11
