B1;L11;B2;L12;Vtp
0.011;0.000793661;0.011;1.74E-05;0.02186893
0.013995498;0.000824996;0.013995498;1.60E-05;0.019445753
0.016990995;0.000853675;0.016990995;1.46E-05;0.017059627
0.019986493;0.000879328;0.019986493;1.29E-05;0.014711084
0.022981991;0.00090163;0.022981991;1.12E-05;0.012400508
0.025977489;0.000920314;0.025977489;9.32E-06;0.010128145
0.028972986;0.000935175;0.028972986;7.38E-06;0.007894126
0.031968484;0.000946077;0.031968484;5.39E-06;0.00569849
0.034963982;0.000952951;0.034963982;3.37E-06;0.003541211
0.03795948;0.000955797;0.03795948;1.36E-06;0.001422235
0.040954977;0.000954678;0.040954977;-6.29E-07;-0.000658489
0.043950475;0.00094972;0.043950475;-2.57E-06;-0.002700966
0.046945973;0.000941099;0.046945973;-4.43E-06;-0.004705123
0.049941471;0.00092904;0.049941471;-6.20E-06;-0.006670763
0.052936968;0.000913806;0.052936968;-7.86E-06;-0.008597533
0.055932466;0.000895689;0.055932466;-9.39E-06;-0.010484887
0.058927964;0.000875003;0.058927964;-1.08E-05;-0.012332048
0.061923462;0.000852077;0.061923462;-1.20E-05;-0.014137982
0.064918959;0.000827245;0.064918959;-1.32E-05;-0.015901368
0.067914457;0.00080084;0.067914457;-1.41E-05;-0.01762057
0.070909955;0.00077319;0.070909955;-1.49E-05;-0.019293621
0.073905453;0.00074461;0.073905453;-1.56E-05;-0.020918205
0.07690095;0.000715399;0.07690095;-1.61E-05;-0.022491647
0.079896448;0.000685836;0.079896448;-1.65E-05;-0.02401091
0.082891946;0.000656177;0.082891946;-1.67E-05;-0.025472594
0.085887444;0.000626656;0.085887444;-1.68E-05;-0.026872953
0.088882941;0.000597481;0.088882941;-1.69E-05;-0.02820791
0.091878439;0.000568833;0.091878439;-1.68E-05;-0.029473092
0.094873937;0.000540869;0.094873937;-1.66E-05;-0.030663872
0.097869435;0.000513721;0.097869435;-1.63E-05;-0.031775427
0.100864932;0.000487498;0.100864932;-1.60E-05;-0.032802805
0.10386043;0.000462285;0.10386043;-1.56E-05;-0.033741013
0.106855928;0.000438148;0.106855928;-1.52E-05;-0.034585116
0.109851426;0.000415133;0.109851426;-1.47E-05;-0.035330351
0.112846923;0.000393269;0.112846923;-1.41E-05;-0.035972252
0.115842421;0.00037257;0.115842421;-1.36E-05;-0.036506785
0.118837919;0.000353036;0.118837919;-1.30E-05;-0.036930492
0.121833417;0.000334658;0.121833417;-1.25E-05;-0.037240633
0.124828914;0.000317412;0.124828914;-1.19E-05;-0.037435319
0.127824412;0.000301272;0.127824412;-1.13E-05;-0.037513644
0.13081991;0.0002862;0.13081991;-1.07E-05;-0.037475793
