B;Vheate;sample;Power;VtpYring2;VtpXring2;VtpYring1;VtpXring1
0;0.2;'F150709B';2.77E-07;1.9327400000E-09;-2.6542800000E-11;2.2044600000E-09;1.1334300000E-09
0.005;0.2;'F150709B';2.77E-07;8.2620300000E-10;-7.8056800000E-10;5.9092800000E-10;3.6321800000E-11
0.01;0.2;'F150709B';2.77E-07;1.9346000000E-09;3.7206500000E-10;-2.0729100000E-09;3.0943400000E-10
0.015;0.2;'F150709B';2.77E-07;3.5926000000E-10;-4.7753900000E-10;5.7276700000E-10;-6.4331500000E-10
0.02;0.2;'F150709B';2.77E-07;1.3790600000E-09;1.1187600000E-09;-9.0199000000E-10;-1.5767400000E-09
0.025;0.2;'F150709B';2.77E-07;3.5553400000E-10;-4.8207900000E-10;1.7208600000E-09;9.8301800000E-10
0.03;0.2;'F150709B';2.77E-07;1.1124700000E-09;-8.6753100000E-10;-2.5003800000E-09;2.0628900000E-10
0.035;0.2;'F150709B';2.77E-07;-3.5823500000E-09;6.1514200000E-10;-1.7527600000E-09;-1.0011800000E-11
0.04;0.2;'F150709B';2.77E-07;-7.4310500000E-09;-5.7835500000E-10;-2.8922400000E-09;-6.0745900000E-10
0.045;0.2;'F150709B';2.77E-07;-1.4256700000E-08;4.5262500000E-10;-5.0794600000E-09;2.1020100000E-09
0.05;0.2;'F150709B';2.77E-07;-1.9049400000E-08;1.0617100000E-10;-3.5530100000E-09;-2.9616200000E-10
0.055;0.2;'F150709B';2.77E-07;-2.1558400000E-08;-5.0664300000E-10;-4.6203200000E-09;-2.1560200000E-10
0.06;0.2;'F150709B';2.77E-07;-2.3067100000E-08;-8.8289700000E-10;-1.3262100000E-09;-1.7509000000E-10
0.065;0.2;'F150709B';2.77E-07;-2.6250400000E-08;-2.4214600000E-10;1.6004900000E-09;-7.1805300000E-10
0.07;0.2;'F150709B';2.77E-07;-2.9968200000E-08;-1.4416900000E-09;9.6588000000E-09;2.9690700000E-09
0.075;0.2;'F150709B';2.77E-07;-3.3110600000E-08;-1.6801100000E-09;2.6768200000E-08;2.4028300000E-10
0.08;0.2;'F150709B';2.77E-07;-3.3963700000E-08;-1.4416900000E-09;5.8140800000E-08;5.3197400000E-09
0.085;0.2;'F150709B';2.77E-07;-3.7912500000E-08;-1.7676600000E-09;7.0326500000E-08;1.7359900000E-09
0.09;0.2;'F150709B';2.77E-07;-4.1881800000E-08;-4.6566300000E-10;1.0811600000E-07;-3.9860900000E-09
0.095;0.2;'F150709B';2.77E-07;-3.9110200000E-08;1.3038600000E-11;1.3541500000E-07;3.2559200000E-09
0.1;0.2;'F150709B';2.77E-07;-4.3012400000E-08;-2.4307700000E-09;1.4653100000E-07;3.2186700000E-09
0.105;0.2;'F150709B';2.77E-07;-4.5094900000E-08;-3.3322900000E-09;1.6680500000E-07;7.3016000000E-09
0.11;0.2;'F150709B';2.77E-07;-3.6245400000E-08;-1.3094500000E-09;1.7531300000E-07;1.2308400000E-08
0.115;0.2;'F150709B';2.77E-07;-4.3217300000E-08;-5.2899500000E-10;1.4708300000E-07;-3.4645300000E-09
0.12;0.2;'F150709B';2.77E-07;-2.6475800000E-08;-1.3299400000E-09;1.6927800000E-07;1.0699100000E-08
0.125;0.2;'F150709B';2.77E-07;-5.2221400000E-08;-2.0917700000E-09;8.5913100000E-08;8.5086200000E-09
0.13;0.2;'F150709B';2.77E-07;-5.4611100000E-08;-2.5183100000E-09;5.3018600000E-08;7.4878600000E-09
0.135;0.2;'F150709B';2.77E-07;-4.5698400000E-08;-1.5162000000E-09;1.4372200000E-08;1.1228100000E-08
0.14;0.2;'F150709B';2.77E-07;-1.2982700000E-08;3.8370700000E-10;3.1806800000E-08;-2.7567300000E-09
0.145;0.2;'F150709B';2.77E-07;-4.6795500000E-08;4.9546700000E-10;-4.7385900000E-08;-3.7327600000E-09
0.15;0.2;'F150709B';2.77E-07;-5.8442600000E-08;-1.8440300000E-09;-1.7844300000E-08;1.8999100000E-09
0.155;0.2;'F150709B';2.77E-07;-4.3977300000E-08;3.1292600000E-10;-2.4482700000E-08;9.0152400000E-10
0.16;0.2;'F150709B';2.77E-07;-5.2031400000E-08;-1.1958300000E-09;-6.0096600000E-08;-3.0398500000E-09
0.165;0.2;'F150709B';2.77E-07;-2.7863400000E-08;-5.7481500000E-09;-8.9347800000E-08;1.9073600000E-09
0.17;0.2;'F150709B';2.77E-07;1.4983200000E-08;-1.9250600000E-09;-1.1046300000E-07;1.2450000000E-08
0.175;0.2;'F150709B';2.77E-07;-3.3691800000E-08;1.6465900000E-09;-6.7815700000E-08;-5.5358100000E-09
0.18;0.2;'F150709B';2.77E-07;1.3172700000E-08;-7.0222100000E-10;-1.0065000000E-07;-2.0936300000E-09
0.185;0.2;'F150709B';2.77E-07;-5.4519900000E-08;-1.4249300000E-09;-9.3035900000E-08;-3.8743200000E-10
0.19;0.2;'F150709B';2.77E-07;-2.6300700000E-09;8.2515500000E-10;-1.6568700000E-07;-2.0861700000E-10
0.195;0.2;'F150709B';2.77E-07;2.1116900000E-08;7.2643600000E-11;-1.1591700000E-07;-2.8312400000E-09
0.2;0.2;'F150709B';2.77E-07;2.9815500000E-08;1.1045600000E-09;-5.0403400000E-08;5.1185800000E-09
0.205;0.2;'F150709B';2.77E-07;7.7095500000E-09;2.8498700000E-10;-4.7691400000E-08;-1.4901300000E-10
0.21;0.2;'F150709B';2.77E-07;-4.1688100000E-08;8.7544800000E-11;-6.0901300000E-08;2.1532300000E-09
0.215;0.2;'F150709B';2.77E-07;-3.4947200000E-08;1.0896500000E-09;-4.3623400000E-08;2.0116700000E-10
0.22;0.2;'F150709B';2.77E-07;-7.6443500000E-09;1.1287700000E-09;-2.3558900000E-08;2.4959600000E-09
0.225;0.2;'F150709B';2.77E-07;4.6674400000E-08;2.4140000000E-09;-2.3439600000E-08;5.2899500000E-10
0.23;0.2;'F150709B';2.77E-07;8.4415500000E-08;-7.6368800000E-10;-4.0062000000E-08;-3.7849100000E-09
