Frequency 	VF1
8	0,000148988684425747
10007,992	-0,009118698361003
20007,984	-0,0366260171139128
30007,976	-0,0815926203333621
40007,968	-0,14277406085608
50007,96	-0,218538427108115
60007,952	-0,30696087896876
70007,944	-0,405926332366822
80007,936	-0,513231047876537
90007,928	-0,626675568091618
100007,92	-0,744143768553869
110007,912	-0,863665201522193
120007,904	-0,983460025643766
130007,896	-1,10196741656658
140007,888	-1,21785939551575
150007,88	-1,33004255591417
160007,872	-1,43765032560783
170007,864	-1,54002829646361
180007,856	-1,63671489025587
190007,848	-1,72741929027977
200007,84	-1,81199820696919
210007,832	-1,89043269711854
220007,824	-1,96280593937072
230007,816	-2,02928259285883
240007,808	-2,09009013450832
250007,8	-2,14550238301343
260007,792	-2,19582527112939
270007,784	-2,24138481856411
280007,776	-2,28251718055477
290007,768	-2,31956059702283
300007,76	-2,35284903888553
310007,752	-2,38270733681479
320007,744	-2,40944757911826
330007,736	-2,43336657568204
340007,728	-2,45474420094121
350007,72	-2,47384244812242
360007,712	-2,49090504763875
370007,704	-2,50615752312158
380007,696	-2,51980757821205
390007,688	-2,53204572530064
400007,68	-2,54304608358565
410007,672	-2,55296728799633
420007,664	-2,56195346270294
430007,656	-2,57013522323023
440007,648	-2,57763067976201
450007,64	-2,58454642126038
460007,632	-2,59097846572337
470007,624	-2,59701316646097
480007,616	-2,60272806786233
490007,608	-2,60819270691544
500007,6	-2,61346935887208
510007,592	-2,61861372704915
520007,584	-2,62367557792151
530007,576	-2,62869932348872
540007,568	-2,6337245534573
550007,56	-2,63878652012776
560007,552	-2,64391657907097
570007,544	-2,64914258874957
580007,536	-2,65448927222409
590007,528	-2,65997854400719
600007,52	-2,66562980500542
610007,512	-2,67146020833613
620007,504	-2,67748489864159
630007,496	-2,68371722734017
640007,488	-2,69016894607861
650007,48	-2,69685038046967
660007,472	-2,70377058602613
670007,464	-2,71093748804064
680007,456	-2,71835800700287
690007,448	-2,72603817099977
700007,44	-2,73398321641224
710007,432	-2,74219767809348
720007,424	-2,75068547010172
730007,416	-2,75944995795359
740007,408	-2,7684940232699
750007,4	-2,77782012159683
760007,392	-2,7874303341088
770007,384	-2,79732641382474
780007,376	-2,80750982690807
790007,368	-2,81798178955989
800007,36	-2,82874330096393
810007,352	-2,83979517269359
820007,344	-2,85113805494951
830007,336	-2,86277245995783
840007,328	-2,87469878282467
850007,32	-2,88691732011245
860007,312	-2,89942828637466
870007,304	-2,91223182886308
880007,296	-2,92532804059707
890007,288	-2,93871697196659
900007,28	-2,95239864102121
910007,272	-2,9663730425831
920007,264	-2,98064015630621
930007,256	-2,99519995379221
940007,248	-3,01005240486139
950007,24	-3,02519748306761
960007,232	-3,04063517053589
970007,224	-3,05636546219415
980007,216	-3,07238836946264
990007,208	-3,08870392345777
1000007,2	-3,10531217776228
1010007,192	-3,12221321080683
1020007,184	-3,13940712790438
1030007,176	-3,15689406297477
1040007,168	-3,1746741799914
1050007,16	-3,19274767418047
1060007,152	-3,21111477299928
1070007,144	-3,22977573691694
1080007,136	-3,24873086001886
1090007,128	-3,26798047045455
1100007,12	-3,28752493074546
1110007,112	-3,30736463796782
1120007,104	-3,32750002382496
