*Frequency 	VF1-abs (dB)	VF1-phase (deg)
8	-0,000502106998410758	-179,998930293155
1000007,92	11,754815961198	-188,411200113185
2000007,84	17,014680220668	-278,022570714565
3000007,76	13,4962617112882	-387,09362211802
4000007,68	4,8038468508597	-453,921581964758
5000007,6	-3,02891047693513	-494,945747764204
6000007,52	-9,82364446946948	-524,382953369558
7000007,44	-15,8205860285496	-547,165262392876
8000007,36	-21,1963415311411	-565,537491268394
9000007,28	-26,0731906715427	-580,719609682725
10000007,2	-30,5379684992593	-593,449227889725
11000007,12	-34,653999449024	-604,206549813058
12000007,04	-38,4684251251775	-613,322835775118
13000006,96	-42,0168554223832	-621,038481313564
14000006,88	-45,3264581481293	-627,536738573868
15000006,8	-48,4181265126564	-632,96459991372
16000006,72	-51,3080988039556	-637,446341235862
17000006,64	-54,0092489589389	-641,092458662992
18000006,56	-56,5321667186375	-644,005382009474
19000006,48	-58,886076423908	-646,282697103257
20000006,4	-61,0795957919833	-648,018351166422
21000006,32	-63,1213104168706	-649,302287930047
22000006,24	-65,0201379491816	-650,219035957631
23000006,16	-66,7854750938208	-650,845841695449
24000006,08	-68,4271510397274	-651,25091645588
25000006	-69,9552391592405	-651,492230644746
26000005,92	-71,3797936295734	-651,61707686623
27000005,84	-72,7105751799131	-651,66240666281
28000005,76	-73,9568142851575	-651,655785601945
29000005,68	-75,1270386449523	-651,616735693721
30000005,6	-76,2289720191898	-651,55823409185
31000005,52	-77,2694976306811	-651,488184330732
32000005,44	-78,2546721728308	-651,410740520651
33000005,36	-79,1897746720973	-651,3274247142
34000005,28	-80,0793759782871	-651,238022577753
35000005,2	-80,9274176770318	-651,141270896936
36000005,12	-81,7372924998737	-651,035364972914
37000005,04	-82,5119211570282	-650,918318711368
38000004,96	-83,2538227516939	-650,788209307416
39000004,88	-83,9651774804715	-650,643334427651
40000004,8	-84,6478813432711	-650,482304952512
41000004,72	-85,3035931916737	-650,304091433661
42000004,64	-85,9337747545978	-650,108038146206
43000004,56	-86,5397244273114	-649,893855142977
44000004,48	-87,1226056079553	-649,661595826007
45000004,4	-87,6834703468965	-649,411625587952
46000004,32	-88,2232789854147	-649,144585341653
47000004,24	-88,7429163913376	-648,861352764295
48000004,16	-89,2432053006733	-648,563003109064
49000004,08	-89,7249172210204	-648,250770934412
50000004	-90,1887812726314	-647,926013681958
51000003,92	-90,6354912828214	-647,590177625522
52000003,84	-91,0657114277058	-647,244766700182
53000003,76	-91,4800806344504	-646,891314267893
54000003,68	-91,8792159795177	-646,531358144931
55000003,6	-92,2637152260941	-646,166418698359
56000003,52	-92,6341586809717	-645,797980112119
57000003,44	-92,9911104854083	-645,427474651091
58000003,36	-93,335119472639	-645,056269805432
59000003,28	-93,6667196687137	-644,685658094781
60000003,2	-93,9864305473102	-644,316849396335
61000003,12	-94,2947570884584	-643,950965495282
62000003,04	-94,5921897116324	-643,589036667126
63000002,96	-94,8792041370199	-643,232000053115
64000002,88	-95,1562612051612	-642,880699584405
65000002,8	-95,4238066960421	-642,535887212453
66000002,72	-95,6822711634379	-642,198225245164
67000002,64	-95,9320698119379	-641,868289566993
68000002,56	-96,1736024199077	-641,546573573241
69000002,48	-96,4072533233462	-641,233492602835
70000002,4	-96,6333914582634	-640,929388768295
71000002,32	-96,8523704666162	-640,634536030777
72000002,24	-97,0645288638126	-640,349145341024
73000002,16	-97,2701902639303	-640,073369885453
74000002,08	-97,469663651179	-639,807310194646
75000002	-97,6632437102424	-639,551019181086
76000001,92	-97,851211181206	-639,304506963129
77000001,84	-98,0338332644301	-639,067745495158
78000001,76	-98,2113640456892	-638,840672940225
79000001,68	-98,3840449416045	-638,623197764132
80000001,6	-98,5521051652156	-638,415202581139
81000001,52	-98,7157622020242	-638,216547688548
82000001,44	-98,8752222948607	-638,027074338635
83000001,36	-99,0306809223084	-637,84660772331
84000001,28	-99,1823232860513	-637,674959705129
85000001,2	-99,3303247881306	-637,511931272737
86000001,12	-99,4748514966563	-637,357314755422
87000001,04	-99,6160606066269	-637,210895816697
88000000,96	-99,7541008950303	-637,072455247579
89000000,88	-99,8891131412772	-636,94177050699
90000000,8	-100,021230560326	-636,818617140123
91000000,72	-100,150579196515	-636,702769980561
92000000,64	-100,277278322266	-636,594004235184
93000000,56	-100,401440797209	-636,492096377333
94000000,48	-100,523173433737	-636,396824963665
95000000,4	-100,642577333201	-636,307971320028
96000000,32	-100,759748202193	-636,22532008442
97000000,24	-100,874776667237	-636,148659722273
98000000,16	-100,987748557182	-636,077782894321
99000000,08	-101,098745186994	-636,012486812617
100000000	-101,207843607467	-635,952573469761
 
